M3M6F2	M3M6F2_HELPX	unreviewed	M protein repeat protein	HMPREF1410_00498	Helicobacter pylori GAM249T	87
M3PRW9	M3PRW9_HELPX	unreviewed	M protein repeat protein	HMPREF1410_00495	Helicobacter pylori GAM249T	179
F6DD28	F6DD28_THICA	unreviewed	General secretion pathway M protein	Thicy_0997	Thiomicrospira cyclica (strain DSM 14477 / JCM 11371 / ALM1) (Thioalkalimicrobium cyclicum)	170
J8W3S4	J8W3S4_ENTFC	unreviewed	M protein trans-acting positive regulator	HMPREF1345_01973	Enterococcus faecium TX1337RF	513
C5WED2	C5WED2_STRDG	unreviewed	Antiphagocytic M protein	stg480.0 SDEG_0230	Streptococcus dysgalactiae subsp. equisimilis (strain GGS_124)	541
L7F9E3	L7F9E3_9ACTN	unreviewed	M protein repeat protein	STRTUCAR8_07541	Streptomyces turgidiscabies Car8	1258
A0A5C9BLR7	A0A5C9BLR7_9RHOO	unreviewed	Fanconi anemia group M protein (Fragment)	FD131_4638	Rhodocyclaceae bacterium	59
A0A2S7RP93	A0A2S7RP93_ENTMU	unreviewed	M protein trans-acting positive regulator	CUS89_13985	Enterococcus mundtii	509
A0A848MYQ6	A0A848MYQ6_ENTMU	unreviewed	M protein trans-acting positive regulator	HI921_11705	Enterococcus mundtii	495
A0A7U9SS35	A0A7U9SS35_9FIRM	unreviewed	Putative type I restriction enzymeP M protein (EC 2.1.1.72)	IMSAGC019_03733	Lachnospiraceae bacterium	514
A0A7U9WZK3	A0A7U9WZK3_9FIRM	unreviewed	Type I restriction enzyme EcoKI M protein (EC 2.1.1.72)	hsdM IMSAGC011_01948	Lachnospiraceae bacterium	655
A0A848N4G1	A0A848N4G1_ENTMU	unreviewed	M protein trans-acting positive regulator	HI921_14610	Enterococcus mundtii	418
A0A5P9KRA1	A0A5P9KRA1_9CAUL	unreviewed	General secretion pathway, M protein	BSP_12635	Brevundimonas sp. Bb-A	157
A0A2S7RNR3	A0A2S7RNR3_ENTMU	unreviewed	M protein trans-acting positive regulator	CUS89_14385	Enterococcus mundtii	493
A0A2S7RZI9	A0A2S7RZI9_ENTMU	unreviewed	M protein trans-acting positive regulator (MGA)	CUS89_01245	Enterococcus mundtii	476
A0A242KW06	A0A242KW06_ENTMU	unreviewed	M protein trans-acting positive regulator	A5802_002476	Enterococcus mundtii	509
A0A7U9T075	A0A7U9T075_9FIRM	unreviewed	Putative type I restriction enzymeP M protein (EC 2.1.1.72)	IMSAG185_01108	Lachnospiraceae bacterium	501
A0A848N0X8	A0A848N0X8_ENTMU	unreviewed	M protein trans-acting positive regulator (Fragment)	HI921_16110	Enterococcus mundtii	319
A0A2M9FQL5	A0A2M9FQL5_ENTMU	unreviewed	M protein trans-acting positive regulator	CV769_08420	Enterococcus mundtii	491
A0A2K8TC28	A0A2K8TC28_ENTMU	unreviewed	M protein trans-acting positive regulator	EM4838_01300	Enterococcus mundtii	492
A0A1V2UBC1	A0A1V2UBC1_ENTMU	unreviewed	M protein trans-acting positive regulator	BTN92_14760	Enterococcus mundtii	494
A0A2T5DES1	A0A2T5DES1_ENTMU	unreviewed	M protein trans-acting positive regulator	C6N14_03215	Enterococcus mundtii	491
A0A2K8TEV2	A0A2K8TEV2_ENTMU	unreviewed	M protein trans-acting positive regulator	EM4838_06695	Enterococcus mundtii	510
A0A1V2ULR8	A0A1V2ULR8_ENTMU	unreviewed	M protein trans-acting positive regulator	BTN92_02995	Enterococcus mundtii	509
A0A2T5DFZ5	A0A2T5DFZ5_ENTMU	unreviewed	M protein trans-acting positive regulator	C6N14_01380	Enterococcus mundtii	505
A0A2S7RS36	A0A2S7RS36_ENTMU	unreviewed	M protein trans-acting positive regulator	CUS89_10065	Enterococcus mundtii	510
A0A2K8TKY2	A0A2K8TKY2_ENTMU	unreviewed	M protein trans-acting positive regulator	EM4838_14750	Enterococcus mundtii	509
A0A848MVM6	A0A848MVM6_ENTMU	unreviewed	M protein trans-acting positive regulator (Fragment)	HI921_16645	Enterococcus mundtii	101
A0A2T5DA32	A0A2T5DA32_ENTMU	unreviewed	M protein trans-acting positive regulator	C6N14_13035	Enterococcus mundtii	510
A0A2T5DCW8	A0A2T5DCW8_ENTMU	unreviewed	M protein trans-acting positive regulator	C6N14_07230	Enterococcus mundtii	509
A0A1V2UBY2	A0A1V2UBY2_ENTMU	unreviewed	M protein trans-acting positive regulator (MGA)	BTN92_14270	Enterococcus mundtii	476
A0A7U9NDE5	A0A7U9NDE5_9FIRM	unreviewed	Type I restriction enzyme EcoKI M protein (EC 2.1.1.72)	hsdM_1 IMSAGC007_00966	Lachnospiraceae bacterium	561
A0A245ZGT0	A0A245ZGT0_9SPHN	unreviewed	Putative type I restriction enzymeP M protein (EC 2.1.1.72)	SPMU_24830	Sphingomonas mucosissima	973
A0A1G9UH36	A0A1G9UH36_9FIRM	unreviewed	Type I restriction enzyme M protein	SAMN05216544_0750	Lachnospira pectinoschiza	567
A0A2T5DG20	A0A2T5DG20_ENTMU	unreviewed	M protein trans-acting positive regulator	C6N14_01625	Enterococcus mundtii	492
A0A848MSF1	A0A848MSF1_ENTMU	unreviewed	M protein trans-acting positive regulator (MGA)	HI921_08320	Enterococcus mundtii	476
A0A848N0M3	A0A848N0M3_ENTMU	unreviewed	M protein trans-acting positive regulator (Fragment)	HI921_16620	Enterococcus mundtii	115
A0A2M9FNH6	A0A2M9FNH6_ENTMU	unreviewed	M protein trans-acting positive regulator	CV769_12755	Enterococcus mundtii	491
A0A2T5DFY9	A0A2T5DFY9_ENTMU	unreviewed	M protein trans-acting positive regulator	C6N14_01355	Enterococcus mundtii	495
A0A1T5EJS0	A0A1T5EJS0_9FIRM	unreviewed	Type I restriction enzyme M protein	SAMN06296386_106140	Lachnospiraceae bacterium	573
A0A2T5D9W9	A0A2T5D9W9_ENTMU	unreviewed	M protein trans-acting positive regulator	C6N14_12360	Enterococcus mundtii	427
A0A848MYZ0	A0A848MYZ0_ENTMU	unreviewed	M protein trans-acting positive regulator	HI921_10730	Enterococcus mundtii	494
A0A1V2UIZ9	A0A1V2UIZ9_ENTMU	unreviewed	M protein trans-acting positive regulator	BTN92_07465	Enterococcus mundtii	491
A0A2K8TBM0	A0A2K8TBM0_ENTMU	unreviewed	M protein trans-acting positive regulator	EM4838_00500	Enterococcus mundtii	427
S4CDN3	S4CDN3_ENTFL	unreviewed	M protein trans-acting positive regulator	D927_00806	Enterococcus faecalis 02-MB-BW-10	478
A0A6V8PGW5	A0A6V8PGW5_9ACTN	unreviewed	Type I restriction enzyme M protein	HKBW3S42_00188	Candidatus Hakubanella thermoalkaliphilus	89
A0A133PRN9	A0A133PRN9_9FIRM	unreviewed	M protein repeat protein	HMPREF3229_00459	Peptoniphilus harei	183
S4CFR1	S4CFR1_ENTFL	unreviewed	M protein trans-acting positive regulator	D927_00584	Enterococcus faecalis 02-MB-BW-10	501
S4CG02	S4CG02_ENTFL	unreviewed	M protein trans-acting positive regulator	D927_00052	Enterococcus faecalis 02-MB-BW-10	492
A0A242XT91	A0A242XT91_BACTU	unreviewed	Antiphagocytic M protein	BK719_32850	Bacillus thuringiensis serovar novosibirsk	240
S4C7B1	S4C7B1_ENTFL	unreviewed	M protein trans-acting positive regulator	D927_01287	Enterococcus faecalis 02-MB-BW-10	488
S4CH56	S4CH56_ENTFL	unreviewed	M protein trans-acting positive regulator	D927_00031	Enterococcus faecalis 02-MB-BW-10	474
S4C0E8	S4C0E8_ENTFL	unreviewed	M protein trans-acting positive regulator HTH domain protein	D927_01794	Enterococcus faecalis 02-MB-BW-10	478
S4CEE0	S4CEE0_ENTFL	unreviewed	M protein trans-acting positive regulator	D927_00580	Enterococcus faecalis 02-MB-BW-10	495
A0A1X4IAM1	A0A1X4IAM1_9ACTN	unreviewed	M protein (Fragment)	B7767_07380	Streptomyces sp. 13-12-16	222
I0T4E5	I0T4E5_STRMT	unreviewed	M protein trans-acting positive regulator / M protein trans-acting positive regulator (MGA) PRD domain multi-domain protein	HMPREF1110_0342	Streptococcus mitis SK579	416
B5D338	B5D338_PHOPM	unreviewed	M protein repeat protein	BACPLE_03432	Phocaeicola plebeius (strain DSM 17135 / JCM 12973 / M2) (Bacteroides plebeius)	1218
E0HHC0	E0HHC0_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_03027	Enterococcus faecalis TX0411	488
E0HD31	E0HD31_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_01518	Enterococcus faecalis TX0411	496
A0A229SF46	A0A229SF46_9PSEU	unreviewed	M protein	CFP71_07570	Amycolatopsis thailandensis	222
E0HCP3	E0HCP3_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_01378	Enterococcus faecalis TX0411	473
A6TI28	A6TI28_KLEP7	unreviewed	Galactoside permease (Lactose permease, M protein) (MFS family)	lacY KPN_pKPN3p05870	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	417
F6ATS8	F6ATS8_DELSC	unreviewed	General secretion pathway M protein	DelCs14_0906	Delftia sp. (strain Cs1-4)	186
E0HE12	E0HE12_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_01854	Enterococcus faecalis TX0411	297
E0HFX9	E0HFX9_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_02492	Enterococcus faecalis TX0411	486
A0A375DE08	A0A375DE08_9BURK	unreviewed	GENERAL SECRETORY PATHWAY M PROTEIN, type II secretion pathway putative	gspM CBM2594_A130028	Cupriavidus taiwanensis	204
F9HC00	F9HC00_STRMT	unreviewed	M protein trans-acting positive regulator	HMPREF9958_2031	Streptococcus mitis SK1073	469
E0HHC6	E0HHC6_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_03033	Enterococcus faecalis TX0411	502
E0HE13	E0HE13_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_01855	Enterococcus faecalis TX0411	495
I1DRR6	I1DRR6_9PROT	unreviewed	Type IIS restriction enzyme M protein (Mod)	UNSWCD_1668	Campylobacter concisus UNSWCD	1055
E8KUH6	E8KUH6_STRVE	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9425_0758	Streptococcus vestibularis ATCC 49124	494
E0HC66	E0HC66_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_01200	Enterococcus faecalis TX0411	474
E0HEF8	E0HEF8_ENTFL	unreviewed	M protein repeat protein	HMPREF9509_02000	Enterococcus faecalis TX0411	431
E3CSD0	E3CSD0_STRVE	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9192_1496	Streptococcus vestibularis F0396	494
D0IQR3	D0IQR3_HELP1	unreviewed	Type III restriction enzyme M protein	KHP_0033	Helicobacter pylori (strain 51)	619
E0HEF4	E0HEF4_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_01996	Enterococcus faecalis TX0411	406
A0A419W3I6	A0A419W3I6_9BACT	unreviewed	Type I restriction enzyme M protein	BC643_0373	Mangrovibacterium diazotrophicum	604
E0H930	E0H930_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_00075	Enterococcus faecalis TX0411	479
B1C0B1	B1C0B1_9FIRM	unreviewed	M protein trans-acting positive regulator (MGA) HTH domain protein	CLOSPI_00639	[Clostridium] spiroforme DSM 1552	624
E0HE17	E0HE17_ENTFL	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF9509_01859	Enterococcus faecalis TX0411	501
A0A2I9CGP2	A0A2I9CGP2_MICAE	unreviewed	Type I restriction enzyme M protein	NIES298_37860	Microcystis aeruginosa NIES-298	138
C8PCN4	C8PCN4_9LACO	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF0520_0854	Lactobacillus iners DSM 13335	468
A0A1C4YA54	A0A1C4YA54_9ACTN	unreviewed	Type I restriction enzyme M protein	GA0070216_10614	Micromonospora matsumotoense	465
I0T5T6	I0T5T6_STRMT	unreviewed	M protein trans-acting positive regulator	HMPREF1110_1343	Streptococcus mitis SK579	494
I0T544	I0T544_STRMT	unreviewed	M protein trans-acting positive regulator	HMPREF1110_0221	Streptococcus mitis SK579	469
A0A1Q5TUK4	A0A1Q5TUK4_9GAMM	unreviewed	M protein	Xedl_01378	Xenorhabdus eapokensis	229
A0A375J1T6	A0A375J1T6_9BURK	unreviewed	GENERAL SECRETORY PATHWAY M PROTEIN, type II secretion pathway putative	gspM CBM2634_A280028	Cupriavidus taiwanensis	201
A0A375F1Z6	A0A375F1Z6_9BURK	unreviewed	GENERAL SECRETORY PATHWAY M PROTEIN, type II secretion pathway putative	gspM CBM2638_A10027	Cupriavidus taiwanensis	204
A0A2X4UEP2	A0A2X4UEP2_SERPL	unreviewed	General secretion pathway, M protein	NCTC12961_01329	Serratia plymuthica	153
U2NE95	U2NE95_ENTFC	unreviewed	M protein trans-acting positive regulator	I131_06515	Enterococcus faecium CRL1879	519
F9HBF2	F9HBF2_STRMT	unreviewed	M protein trans-acting positive regulator	HMPREF9958_1832	Streptococcus mitis SK1073	492
U2P159	U2P159_ENTFC	unreviewed	M protein trans-acting positive regulator	I131_11680	Enterococcus faecium CRL1879	521
F3UER7	F3UER7_STRSA	unreviewed	M protein	HMPREF9393_2121	Streptococcus sanguinis SK1056	77
A0A8I1XQR8	A0A8I1XQR8_9BACL	unreviewed	Type I restriction enzyme M protein (EC 2.1.1.72)	JOE49_001995	Paenibacillus sp. PvR133	538
A0A4R2E359	A0A4R2E359_9BACT	unreviewed	Type I restriction enzyme M protein	CLV25_12520	Acetobacteroides hydrogenigenes	592
A0A0H3C034	A0A0H3C034_STRPZ	unreviewed	M protein trans-acting positive regulator (Mga)	mga Spy49_1673c	Streptococcus pyogenes serotype M49 (strain NZ131)	533
A0A4Q8CJ80	A0A4Q8CJ80_9ACTN	unreviewed	Type I restriction enzyme M protein	EV375_3626	Streptomyces sp. CNZ301	772
A0A0G3EID9	A0A0G3EID9_9BACT	unreviewed	Putative type I restriction enzymeP M protein (EC 2.1.1.72)	L21SP4_01972	Kiritimatiella glycovorans	153
A0A0X8PS80	A0A0X8PS80_ENTGA	unreviewed	M protein trans-acting positive regulator	AL523_16135	Enterococcus gallinarum	489
A0A376GT44	A0A376GT44_ENTGA	unreviewed	Mga helix-turn-helix domain./M protein trans-acting positive regulator (MGA) HTH domain	NCTC12360_00140	Enterococcus gallinarum	484
A0A1M6MV81	A0A1M6MV81_9CLOT	unreviewed	M protein trans-acting positive regulator (MGA) HTH domain-containing protein	SAMN02745248_01185	Hathewaya proteolytica DSM 3090	385
A0A1R4GH66	A0A1R4GH66_9MICO	unreviewed	Putative M protein	CZ674_12015	Agrococcus casei LMG 22410	759
A0A2L1CFT3	A0A2L1CFT3_ENTGA	unreviewed	M protein trans-acting positive regulator	AL523_15680	Enterococcus gallinarum	501
A0A0X8PPA0	A0A0X8PPA0_ENTGA	unreviewed	M protein trans-acting positive regulator	AL523_08000	Enterococcus gallinarum	486
A0A0X8PNX9	A0A0X8PNX9_ENTGA	unreviewed	M protein trans-acting positive regulator	AL523_06960	Enterococcus gallinarum	501
A0A829FM22	A0A829FM22_ENTFC	unreviewed	M protein trans-acting positive regulator	SSM_00147	Enterococcus faecium EnGen0192	527
A0A829FLW3	A0A829FLW3_ENTFC	unreviewed	M protein trans-acting positive regulator	SSM_00607	Enterococcus faecium EnGen0192	493
A0A109Y624	A0A109Y624_ENTGA	unreviewed	M protein trans-acting positive regulator	AL523_12600	Enterococcus gallinarum	497
A0A6I4XGS3	A0A6I4XGS3_ENTGA	unreviewed	M protein trans-acting positive regulator	GTI89_02865	Enterococcus gallinarum	498
A0A376GVZ6	A0A376GVZ6_ENTGA	unreviewed	M protein trans-acting positive regulator HTH domain protein	NCTC12360_00626	Enterococcus gallinarum	491
