P35128	UBE2N_DROME	reviewed	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme N) (Protein bendless) (Ubiquitin carrier protein N) (Ubiquitin-conjugating enzyme E2-17 kDa) (Ubiquitin-protein ligase D3) (Ubiquitin-protein ligase N)	ben UbcD3 CG18319	Drosophila melanogaster (Fruit fly)	151
P31994	FCG2B_HUMAN	reviewed	Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32)	FCGR2B CD32 FCG2 IGFR2	Homo sapiens (Human)	310
P03421	PHOSP_HRSVA	reviewed	Phosphoprotein (Protein P)	P	Human respiratory syncytial virus A (strain A2)	241
P0C6W3	R1AB_BCHK4	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Bat coronavirus HKU4 (BtCoV) (BtCoV/HKU4/2004)	7119
P0C6W4	R1AB_BCHK5	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Bat coronavirus HKU5 (BtCoV) (BtCoV/HKU5/2004)	7182
P0C6W7	R1AB_CVBEN	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Bovine coronavirus (strain 98TXSF-110-ENT) (BCoV-ENT) (BCV)	7094
P0C6W8	R1AB_CVBLU	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Bovine coronavirus (strain 98TXSF-110-LUN) (BCoV-LUN) (BCV)	7094
P0C6W9	R1AB_CVBM	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Bovine coronavirus (strain Mebus) (BCoV) (BCV)	7094
P0C6X0	R1AB_CVBQ	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Bovine coronavirus (strain Quebec) (BCoV) (BCV)	7059
P0C6X1	R1AB_CVH22	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p9); Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p34); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p5); Non-structural protein 8 (nsp8) (p23); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p16); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p66) (p66-HEL); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p41); Putative 2'-O-methyl transferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Human coronavirus 229E (HCoV-229E)	6758
P0C6X2	R1AB_CVHN1	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Human coronavirus HKU1 (isolate N1) (HCoV-HKU1)	7182
P0C6X3	R1AB_CVHN2	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Human coronavirus HKU1 (isolate N2) (HCoV-HKU1)	7152
P0C6X4	R1AB_CVHN5	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Human coronavirus HKU1 (isolate N5) (HCoV-HKU1)	7132
P0C6X5	R1AB_CVHNL	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p9); Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p34); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p5); Non-structural protein 8 (nsp8) (p23); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p14); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p66) (p66-HEL); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p41); Putative 2'-O-methyl transferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Human coronavirus NL63 (HCoV-NL63)	6729
P0C6X6	R1AB_CVHOC	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Human coronavirus OC43 (HCoV-OC43)	7095
P0C6X8	R1AB_CVM2	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Murine coronavirus (strain 2) (MHV-2) (Murine hepatitis virus)	7124
A0A176RVL8	A0A176RVL8_9GAMM	unreviewed	Aminopeptidase N protein (Fragment)	THIOM_004584	Candidatus Thiomargarita nelsonii	93
E3DKN5	E3DKN5_ERWSE	unreviewed	Insertion element iso-IS1n protein	EJP617_11380	Erwinia sp. (strain Ejp617)	66
A0A829ADH1	A0A829ADH1_ECOLX	unreviewed	Insertion element iso-IS1N protein insA	A1Y7_04598	Escherichia coli KTE119	90
A0A829G7D4	A0A829G7D4_ECOLX	unreviewed	N protein	WG3_01765	Escherichia coli KTE36	90
A0A0E2L7K6	A0A0E2L7K6_ECOU3	unreviewed	N protein	G925_01128	Escherichia coli (strain UMEA 3162-1)	90
A0A0E2KWZ1	A0A0E2KWZ1_ECOU3	unreviewed	Insertion element iso-IS1n protein insB	G925_04449	Escherichia coli (strain UMEA 3162-1)	119
A2BRG4	A2BRG4_PROMS	unreviewed	Possible Photosystem II reaction centre N protein	A9601_10911	Prochlorococcus marinus (strain AS9601)	53
A0A433UN98	A0A433UN98_9CYAN	unreviewed	Insertion element iso-IS1n protein insB	DSM107010_71330	Chroococcidiopsis cubana SAG 39.79	121
A0A077NV55	A0A077NV55_XENBV	unreviewed	Insertion element iso-IS1n protein insB	XBFM1_2550016	Xenorhabdus bovienii str. feltiae Moldova	82
A0A077NLX0	A0A077NLX0_XENBV	unreviewed	Insertion element iso-IS1n protein InsB	XBFM1_1220007	Xenorhabdus bovienii str. feltiae Moldova	84
A0A077NNE3	A0A077NNE3_XENBV	unreviewed	Insertion element iso-IS1n protein InsB	XBFM1_1540014	Xenorhabdus bovienii str. feltiae Moldova	47
A0A077NYM3	A0A077NYM3_XENBV	unreviewed	Insertion element iso-IS1n protein insB	XBFM1_860069	Xenorhabdus bovienii str. feltiae Moldova	103
A0A077NV76	A0A077NV76_XENBV	unreviewed	Insertion element iso-IS1N protein insA	XBFM1_390015	Xenorhabdus bovienii str. feltiae Moldova	43
A0A077NMG5	A0A077NMG5_XENBV	unreviewed	Insertion element iso-IS1n protein insB	XBFM1_730005	Xenorhabdus bovienii str. feltiae Moldova	122
N0DNB6	N0DNB6_9MONO	unreviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA (nucleoside-2'-O-)-methyltransferase (N1-2'-O-MTase) (EC 2.1.1.-); mRNA (guanine-N(7)-)-methyltransferase (G-N7-MTase)]	L	Canine morbillivirus	2184
A0A3Q8GW70	A0A3Q8GW70_9MONO	unreviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA (nucleoside-2'-O-)-methyltransferase (N1-2'-O-MTase) (EC 2.1.1.-); mRNA (guanine-N(7)-)-methyltransferase (G-N7-MTase)]	L	Measles virus genotype D8	2183
A0A482KEF6	A0A482KEF6_9MONO	unreviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA (nucleoside-2'-O-)-methyltransferase (N1-2'-O-MTase) (EC 2.1.1.-); mRNA (guanine-N(7)-)-methyltransferase (G-N7-MTase)]		Mumps orthorubulavirus	2261
E9LUF7	E9LUF7_9GAMC	unreviewed	Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein)	M	Infectious bronchitis virus	225
A0A4Y5QQL0	A0A4Y5QQL0_9MONO	unreviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA (nucleoside-2'-O-)-methyltransferase (N1-2'-O-MTase) (EC 2.1.1.-); mRNA (guanine-N(7)-)-methyltransferase (G-N7-MTase)]		Avian orthoavulavirus 1	2204
A0A6C0WAE8	A0A6C0WAE8_9MONO	unreviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA (nucleoside-2'-O-)-methyltransferase (N1-2'-O-MTase) (EC 2.1.1.-); mRNA (guanine-N(7)-)-methyltransferase (G-N7-MTase)]	L	Marburg marburgvirus	2331
Q86121	Q86121_9RHAB	unreviewed	Nucleocapsid (N) protein (Fragment)		Vesicular stomatitis virus	46
A6H3W5	A6H3W5_9RHAB	unreviewed	Phosphoprotein (Protein M1) (Fragment)	P	Vesicular stomatitis virus	140
A6H3D6	A6H3D6_9RHAB	unreviewed	Phosphoprotein (Protein M1) (Fragment)	P	Vesicular stomatitis virus	140
A6H3V9	A6H3V9_9RHAB	unreviewed	Phosphoprotein (Protein M1) (Fragment)	P	Vesicular stomatitis virus	140
Q98777	Q98777_9RHAB	unreviewed	Phosphoprotein (Protein M1) (Fragment)		Vesicular stomatitis virus	150
C7B261	C7B261_9MONO	unreviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA (nucleoside-2'-O-)-methyltransferase (N1-2'-O-MTase) (EC 2.1.1.-); mRNA (guanine-N(7)-)-methyltransferase (G-N7-MTase)]	L	Marburg marburgvirus	2327
A0A344X6N8	A0A344X6N8_9MONO	unreviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA (nucleoside-2'-O-)-methyltransferase (N1-2'-O-MTase) (EC 2.1.1.-); mRNA (guanine-N(7)-)-methyltransferase (G-N7-MTase)]	L	Avian orthoavulavirus 1	2204
A0A192GR72	A0A192GR72_9MONO	unreviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA (nucleoside-2'-O-)-methyltransferase (N1-2'-O-MTase) (EC 2.1.1.-); mRNA (guanine-N(7)-)-methyltransferase (G-N7-MTase)]	L	Avian orthoavulavirus 1	2204
A0A650AH24	A0A650AH24_9MONO	unreviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA (nucleoside-2'-O-)-methyltransferase (N1-2'-O-MTase) (EC 2.1.1.-); mRNA (guanine-N(7)-)-methyltransferase (G-N7-MTase)]	L	Avian orthoavulavirus 1	2204
Q9WPY8	Q9WPY8_9MONO	unreviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA (nucleoside-2'-O-)-methyltransferase (N1-2'-O-MTase) (EC 2.1.1.-); mRNA (guanine-N(7)-)-methyltransferase (G-N7-MTase)]		Measles morbillivirus	2183
